lot_id,source_lot_id,notice_id,procedure_id,lot_title,lot_description,lot_status,estimated_value,currency_code,category_id,source_id,source_file_id,source_record_id,collected_at
lot_00011,LOT-0001,not_0007,pro_0007,Odbiór i zagospodarowanie odpadów komunalnych od właścicieli nieruchomości zamieszkałych na terenie gminy Lubomia w roku 2025,"Przedmiotem zamówienia jest świadczenie usług w zakresie odbierania i zagospodarowania odpadów komunalnych z posesji, na których zamieszkują mieszkańcy, w sposób umożliwiający Gminie Lubomia osiągnięcie odpowiednich poziomów recyklingu, przygotowania do ponownego użycia i odzysku innymi metodami oraz ograniczenie masy odpadów komunalnych ulegających biodegradacji przekazywanych do składowania, zgodnie z zapisami ustawy z dnia 13 września 1996 r. o utrzymaniu czystości i porządku w gminach (t.j. Dz. U. z 2024 r. poz. 399 z późn. zm.), zapisami Planu Gospodarki Odpadami dla Województwa Śląskiego, uchwałą w sprawie Regulaminu utrzymania czystości i porządku na terenie gminy Lubomia, ustawą z dnia 14 grudnia 2012 r. o odpadach (t.j. Dz.U. z 2023 r., poz. 1587 z późn. zm.), a także rozporządzeniami dotyczącymi realizacji zadania oraz świadczenie usługi polegającej na odbiorze i zagospodarowaniu odpadów zebranych w PSZOK (odpady również pochodzą z nieruchomości, na których zamieszkują mieszkańcy), frakcje: papier; metale; tworzywa sztuczne; szkło; odpady opakowaniowe wielomateriałowe; bioodpady; odpady niebezpieczne; przeterminowane leki i chemikalia; odpady niekwalifikujące się do odpadów medycznych powstałe w gospodarstwie domowym w wyniku przyjmowania produktów leczniczych w formie iniekcji i prowadzenia monitoringu substancji we krwi, w szczególności igły i strzykawki; zużyte baterie i akumulatory; zużyty sprzęt elektryczny i elektroniczny; zużyte opony; meble i inne odpady wielkogabarytowe; odpady budowlane i rozbiórkowe; odpady tekstyliów i odzieży. PSZOK (Punkt Selektywnego Zbierania Odpadów Komunalnych) – lokalizacja Lubomia, ul. Szkolna 4, (parcela nr 934/126, k.m. 2 obręb Lubomia). Prowadzący PSZOK: Urząd Gminy Lubomia, ul. Szkolna 1, 44-360 Lubomia.",selec-w,,,cat_0008,src_ted_opendata,file_ted_0007,lot:LOT-0001,2026-08-19
lot_00012,LOT-0000,not_0008,pro_0008,MT13 - Accord-cadre d'accompagnement et de balisage,"La présente consultation a pour objet de désigner le titulaire de l'accord cadre de travaux d'accompagnement et de balisage à l'occasion d'opérations de maintenance ou de développement des réseaux de transports (tramway, Busway, Chronobus) - MT13. Les prestations d'accompagnement et balisage à réaliser par le titulaire concernent les domaines suivants : - Fourniture de balisage de chantier, - Pose de balisage périmétrique de chantier, - Travaux d'abattage d'arbres, - Travaux de libération d'emprises, - Dépose de mobilier urbain, - Mise en place de jalonnement et signalisation provisoire, - Mise en place de SLT provisoire, - Mise en place d'éclairage public provisoire, - Mise en place de communication de chantier Le détail complet des prestations figure au CCTP. Il s'agit d'un accord cadre de travaux mono-attributaire, avec un montant minimum de 1 300 000 euros HT et un montant maximum de 3 583 334 euros HT, sur l'ensemble de la durée de l'accord-cadre, conformément à l'article R. 2162-4 1° du code de la commande publique. Cet accord cadre sera exécuté au fur et à mesure de l'émission de bons de commande conformément à l'article R. 2162-2 alinéa 2 du code de la commande publique",selec-w,,,cat_0009,src_ted_opendata,file_ted_0008,lot:LOT-0000,2026-08-19
lot_00013,LOT-0001,not_0009,pro_0009,"Endoproteze totale primare de sold: cimentate, hibrid si cimentate cu dubla mobilitate; cu tija femurala nepolişată cu profil biconic",1.1. Endoproteza totala primara CIMENTATA de sold cu tija femurala cu profil biconic si cupa polietilena Cantitate min./max. estimata contract subsecvent (buc)1 /10 ; Cantitate min./max. estimata acord cadru (buc) : 400 / 500; Valoare min./max. estimata contract subsecvent (lei) :4110 /41100; Valoare min/max. estimata acord-cadru(lei):1644000 / 2055000. 1.2. Endoproteza totala primara HIBRID de sold cu tija femurala cu profil biconic ( cimentata) si cupa necimentata acoperita cu metal fibrilar Cantitate min./max. estimata contract subsecvent (buc)1 /1 ; Cantitate min./max. estimata acord cadru (buc) : 32 / 40; Valoare min./max. estimata contract subsecvent (lei) :5280 /5280; Valoare min/max. estimata acord-cadru(lei):168960 / 211200. 1.3. Endoproteza totala primara CIMENTATA de sold cu tija cu profil biconic si cupa cu DUBLA MOBILITATE Cantitate min./max. estimata contract subsecvent (buc)1 /1 ; Cantitate min./max. estimata acord cadru (buc) : 24 / 30; Valoare min./max. estimata contract subsecvent (lei) :5110 /5110; Valoare min/max. estimata acord-cadru(lei):122640 / 153300,selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0001,2026-08-19
lot_00014,LOT-0002,not_0009,pro_0009,Endoproteze totale primare de sold: cimentate si hibridde sold cu tija femurala polisata cu pulslavaj si accesorii pt cimentare,2.1. Endoproteza totala primara CIMENTATA de sold cu tija femurala polisata cu pulslavaj si cupa de polietilena si accesorii pentru cimentare Cantitate min./max. estimata contract subsecvent (buc)1 /8 ; Cantitate min./max. estimata acord cadru (buc) : 320 / 400; Valoare min./max. estimata contract subsecvent (lei) :3900 /31200; Valoare min/max. estimata acord-cadru(lei):1248000 / 1560000. 2.2. Endoproteza totala primara HIBRID de sold cu tija femurala polisata( cimentata) cu pulslavaj si accesorii pentru cimentare si cupa necimentata acoperita cu hidroxiapatita Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 80 / 100 ; Valoare min./max. estimata contract subsecvent (lei) :5200 /10400; Valoare min/max. estimata acord-cadru(lei):416000 / 520000,selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0002,2026-08-19
lot_00015,LOT-0003,not_0009,pro_0009,"Endoproteze totale primare de sold: necimentate, hibrid inversat si necimentate cu dubla mobilitate; cu tija cu profil biconic",3.1. Endoproteza totala primara NECIMENTATA de sold cu tija cu profil biconic si cupa acoperita cu metal fibrilar Cantitate min./max. estimata contract subsecvent (buc)1 /5 ; Cantitate min./max. estimata acord cadru (buc) : 200 / 250; Valoare min./max. estimata contract subsecvent (lei) :6070 /30350; Valoare min/max. estimata acord-cadru(lei):1214000 / 1517500. 3.2. Endoproteza totala primara HIBRID INVERSAT de sold cu cu tija cu profil biconic si cupa de polietilena (cimentata) Cantitate min./max. estimata contract subsecvent (buc)1 /1 ; Cantitate min./max. estimata acord cadru (buc) : 24 / 30; Valoare min./max. estimata contract subsecvent (lei) :4900 /4900; Valoare min/max. estimata acord-cadru(lei):117600 / 147000. 3.3. Endoproteza totala primara NECIMENTATA de sold cu tija cu profil biconic si cupa cu DUBLA MOBILITATE Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 80 / 100; Valoare min./max. estimata contract subsecvent (lei) :6800 /13600; Valoare min/max. estimata acord-cadru(lei):544000 / 680000.,selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0003,2026-08-19
lot_00016,LOT-0004,not_0009,pro_0009,Endoproteze totale primare necimentate si hibrid inversat de sold cu tija morfometrica si diferite cupluri de frictiune,4.1. Endoproteza totala primara NECIMENTATA de sold cu tija morfometrica si cuplu metal-polietilena Cantitate min./max. estimata contract subsecvent (buc)1 /8 ; Cantitate min./max. estimata acord cadru (buc) : 320 / 400; Valoare min./max. estimata contract subsecvent (lei) :5900 /47200; Valoare min/max. estimata acord-cadru(lei):1888000 / 2360000. 4.2. Endoproteza totale primara NECIMENTATA de sold cu tija morfometrica si cuplu ceramica-polietilena Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 64 / 80; Valoare min./max. estimata contract subsecvent (lei) :6900 /13800; Valoare min/max. estimata acord-cadru(lei):441600 / 552000. 4.3. Endoproteza totala primara HIBRID INVERSAT de sold cu tija morfometrica si cupa polietilena crosslink (cimentata ) Cantitate min./max. estimata contract subsecvent (buc)1 /1 ; Cantitate min./max. estimata acord cadru (buc) : 24 / 30; Valoare min./max. estimata contract subsecvent (lei) :5300 /5300; Valoare min/max. estimata acord-cadru(lei):127200 / 159000.,selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0004,2026-08-19
lot_00017,LOT-0005,not_0009,pro_0009,Endoproteze totale primare NECIMENTATE de sold cu multiple variante de acoperire,5. Endoproteze totale primare NECIMENTATE de sold cu multiple variante de acoperire Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 80 / 100; Valoare min./max. estimata contract subsecvent (lei) :6880 /13760; Valoare min/max. estimata acord-cadru(lei):550400 / 688000.,selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0005,2026-08-19
lot_00018,LOT-0006,not_0009,pro_0009,Endoproteze totale primare necimentate de sold cu offset multiplu,6.1. Endoproteza totala primara NECIMENTATA de sold cu offset multiplu si cuplu si cuplu standard Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 80 / 100; Valoare min./max. estimata contract subsecvent (lei) :7330 /14660; Valoare min/max. estimata acord-cadru(lei):586400 / 733000. 6.2. Endoproteza totala primara NECIMENTATA de sold cu offset multiplu si cuplu superior Cantitate min./max. estimata contract subsecvent (buc)1 /1 ; Cantitate min./max. estimata acord cadru (buc) : 40 / 50; Valoare min./max. estimata contract subsecvent (lei) :8330 /8330; Valoare min/max. estimata acord-cadru(lei):333200 / 416500.,selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0006,2026-08-19
lot_00019,LOT-0007,not_0009,pro_0009,Endoproteze totale de sold de revizie,7.1.. Endoproteza totala de revizie NECIMENTATA de sold – cu tija modulară si fixare distal diafizara Cantitate min./max. estimata contract subsecvent (buc)1 /1 ; Cantitate min./max. estimata acord cadru (buc) : 40 / 50; Valoare min./max. estimata contract subsecvent (lei) :9790 /9790; Valoare min/max. estimata acord-cadru(lei):391600 / 489500. 7.2. Endoproteza totala de revizie NECIMENTATA de sold cu tija monobloc si fixare distal diafizara Cantitate min./max. estimata contract subsecvent (buc)1 /1 ; Cantitate min./max. estimata acord cadru (buc) : 24 / 30; Valoare min./max. estimata contract subsecvent (lei) :12500 /12500 ; Valoare min/max. estimata acord-cadru(lei):300000 / 375000.,selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0007,2026-08-19
lot_00020,LOT-0008,not_0009,pro_0009,Elemente de augmentare si ranforsare a cotilului si metafizodiafizare plus componente endoprotetice primare sau de revizie folosite in revizia protetica a soldului,8.1. Bloc de augmentare din metal trabecular pentru cotil in revizia protetica a soldului Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 16 / 20; Valoare min./max. estimata contract subsecvent (lei) :2900 /5800; Valoare min/max. estimata acord-cadru(lei):46400 / 58000. 8.2. Cupa de revizie din metal trabecular cu insert cimentat in revizia protetica a soldului Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 16 / 20; Valoare min./max. estimata contract subsecvent (lei) :9500 /19000; Valoare min/max. estimata acord-cadru(lei):152000 / 190000. 8.3. Cupa de revizie din metal trabecular cu Inel “ cup – cage “ si insert cimentat in revizia protetica a soldului Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 16 / 20; Valoare min./max. estimata contract subsecvent (lei) :13300 /26600; Valoare min/max. estimata acord-cadru(lei):212800 / 266000. 8.4. Inel de ranforsare cotil cu insert cimentat in revizia protetica a soldului Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 16 / 20; Valoare min./max. estimata contract subsecvent (lei) :4500 /9000; Valoare min/max. estimata acord-cadru(lei):72000 / 90000. 8.5. Tija femurala modulară necimentata de revizie si cap femural endoprotetic in revizia protetica a soldului Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 16 / 20; Valoare min./max. estimata contract subsecvent (lei) :7100 /14200; Valoare min/max. estimata acord-cadru(lei):113600 / 142000. 8.6. Tija femurala primara cimentata si cap femural endoprotetic in revizia protetica a soldului Cantitate min./max. estimata contract subsecvent (buc)1 /1 ; Cantitate min./max. estimata acord cadru (buc) : 24 / 30; Valoare min./max. estimata contract subsecvent (lei) :2500 /2500; Valoare min/max. estimata acord-cadru(lei):60000 / 75000. 8.7. Cupa acetabulara primara cimentata de polietilena si cap femural endoprotetic in revizia primara a soldului Cantitate min./max. estimata contract subsecvent (buc)1 /1 ; Cantitate min./max. estimata acord cadru (buc) : 24 / 30; Valoare min./max. estimata contract subsecvent (lei) :2000 /2000 ; Valoare min/max. estimata acord-cadru(lei):48000 / 60000.,selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0008,2026-08-19
lot_00021,LOT-0009,not_0009,pro_0009,Cabluri de ranforsare in revizia endoprotetica,9. Cabluri de ranforsare in revizia endoprotetica Cantitate min./max. estimata contract subsecvent (buc)1 /3 ; Cantitate min./max. estimata acord cadru (buc) : 120 / 150; Valoare min./max. estimata contract subsecvent (lei) :290 /870; Valoare min/max. estimata acord-cadru(lei):34800 / 43500.,selec-w,,,cat_0011,src_ted_opendata,file_ted_0009,lot:LOT-0009,2026-08-19
lot_00022,LOT-0010,not_0009,pro_0009,Ciment ortopedic cu gentamicina,10. Ciment ortopedic cu gentamicina Cantitate min./max. estimata contract subsecvent (buc)1 /21 ; Cantitate min./max. estimata acord cadru (buc) : 800 / 1000; Valoare min./max. estimata contract subsecvent (lei) :240 /5040 ; Valoare min/max. estimata acord-cadru(lei):192000 / 240000.,selec-w,,,cat_0012,src_ted_opendata,file_ted_0009,lot:LOT-0010,2026-08-19
lot_00023,LOT-0011,not_0009,pro_0009,Ciment ortopedic cu doua antibiotice,Ciment ortopedic cu doua antibiotice Cantitate min./max. estimata contract subsecvent (buc)1 /21 ; Cantitate min./max. estimata acord cadru (buc) : 800 / 1000; Valoare min./max. estimata contract subsecvent (lei) :370 /7770; Valoare min/max. estimata acord-cadru(lei):296000 / 370000.,selec-w,,,cat_0012,src_ted_opendata,file_ted_0009,lot:LOT-0011,2026-08-19
lot_00024,LOT-0012,not_0009,pro_0009,Endoproteze totale cimentate primare si de revizie de genunchi cu trei raze de curbura,12.1. Endoproteza totala primara cimentata de genunchi cu trei raze de curbura cu componenta tibiala fixa cu kit pulslavaj Cantitate min./max. estimata contract subsecvent (buc)1 /6 ; Cantitate min./max. estimata acord cadru (buc) : 240 / 300; Valoare min./max. estimata contract subsecvent (lei) :6520 /39120; Valoare min/max. estimata acord-cadru(lei):1564800 / 1956000. 12.2. Endoproteza totala de revizie cimentata de genunchi cu trei raze de curbura cu kit pt pulslavaj cu tije de extensie si blocuri de augmentare din titan Cantitate min./max. estimata contract subsecvent (buc)1 /1 ; Cantitate min./max. estimata acord cadru (buc) : 32 / 40 ; Valoare min./max. estimata contract subsecvent (lei) :21700 /21700; Valoare min/max. estimata acord-cadru(lei):694400 / 868000. 12.3. Endoproteza totala primara cimentata de genunchi cu trei raze de curbura cu componenta tibiala de revizie cu kit pt pulslavaj Cantitate min./max. estimata contract subsecvent (buc)1 /1 ; Cantitate min./max. estimata acord cadru (buc) : 32 / 40; Valoare min./max. estimata contract subsecvent (lei) :8070 /8070; Valoare min/max. estimata acord-cadru(lei):258240 / 322800. 12.4. Blocuri de augmentare din titan pentru proteza totala de revizie cimentata de genunchi cu trei raze de curbura Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 64 / 80; Valoare min./max. estimata contract subsecvent (lei) :2200 /4400; Valoare min/max. estimata acord-cadru(lei):140800 / 176000. 12.5. Con de augmentare pt femur sau tibie pentru proteza totala de revizie cimentata cu trei raze de curbura Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 16 / 20; Valoare min./max. estimata contract subsecvent (lei) :6500 /13000; Valoare min/max. estimata acord-cadru(lei):104000 / 130000.,selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0012,2026-08-19
lot_00025,LOT-0013,not_0009,pro_0009,Endoproteza totala primara cimentata de genunchi complet anatomica cu kit pulslavaj,13. Endoproteza totala primara cimentata de genunchi complet anatomica cu kit pulslavaj Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 32 / 40; Valoare min./max. estimata contract subsecvent (lei) :9300 /18600; Valoare min/max. estimata acord-cadru(lei):297600 / 372000.,selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0013,2026-08-19
lot_00026,LOT-0014,not_0009,pro_0009,Endoproteza unicompartimentala de genunchi cimentata cu platou mobil cu kit pulslavaj,14. Endoproteza unicompartimentala de genunchi cimentata cu platou mobil cu kit pulslavaj Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 32 / 40; Valoare min./max. estimata contract subsecvent (lei) :5300 /10600; Valoare min/max. estimata acord-cadru(lei):169600 / 212000.,selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0014,2026-08-19
lot_00027,LOT-0015,not_0009,pro_0009,Endoproteze totale primare si de revizie cimentate de genunchi cu raza unica de curbura si kit pulslavaj,15.1. Endoproteza totala primara cimentata de genunchi cu raza unica de curbura cu stabilizare posterioara si kit pulslavaj Cantitate min./max. estimata contract subsecvent (buc)1 /6 ; Cantitate min./max. estimata acord cadru (buc) : 240 / 300; Valoare min./max. estimata contract subsecvent (lei) :6000 /36000; Valoare min/max. estimata acord-cadru(lei):1440000 / 1800000. 15.2. Endoproteza totala de revizie cimentata de genunchi cu raza unica de curbura cu blocuri de augmentare si stabilizatoare intramedulare si kit pulslavaj Cantitate min./max. estimata contract subsecvent (buc)1 /1 ; Cantitate min./max. estimata acord cadru (buc) : 40 / 50; Valoare min./max. estimata contract subsecvent (lei) :17500 /17500; Valoare min/max. estimata acord-cadru(lei):700000 / 875000. 15.3. Endoproteza totala cimentata de genunchi cu raza unica de curbura cu componenta femurala primara si componenta tibiala de revizie Cantitate min./max. estimata contract subsecvent (buc)1 /1 ; Cantitate min./max. estimata acord cadru (buc) : 40 / 50; Valoare min./max. estimata contract subsecvent (lei) :11000 /11000; Valoare min/max. estimata acord-cadru(lei):440000 / 550000. 15.4. Conuri de augmentare femurale si tibiale pentru endoproteza de revizie de genunchi cu raza unica de curbura Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 16 / 20; Valoare min./max. estimata contract subsecvent (lei) :4200 /8400; Valoare min/max. estimata acord-cadru(lei):67200 / 84000.,selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0015,2026-08-19
lot_00028,LOT-0016,not_0009,pro_0009,Endoproteze totale primare cimentate de genunchi cu platou anatomic cu kit pulslavaj plus elemente de stabilizare,"16.1. Endoproteza totala primara cimentata de genunchi . cu platou anatomic, stem si insert constrains Cantitate min./max. estimata contract subsecvent (buc)1 /1 ; Cantitate min./max. estimata acord cadru (buc) : 32 / 40; Valoare min./max. estimata contract subsecvent (lei) :9200 /9200; Valoare min/max. estimata acord-cadru(lei):294400 / 368000. 16.2. Endoproteza totala primara cimentata de genunchi cu platou anatomic , stem, insert constrains si augument Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 16 / 20; Valoare min./max. estimata contract subsecvent (lei) :10800 /21600; Valoare min/max. estimata acord-cadru(lei):172800 / 216000.",selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0016,2026-08-19
lot_00029,LOT-0017,not_0009,pro_0009,Endoproteza totala de revizie cimentata de genunchi tip “ balama” cu rotatie,17. Endoproteza totala de revizie cimentata de genunchi tip “ balama” cu rotatie Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 16 / 20; Valoare min./max. estimata contract subsecvent (lei) :16000 /32000; Valoare min/max. estimata acord-cadru(lei):256000 / 320000.,selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0017,2026-08-19
lot_00030,LOT-0018,not_0009,pro_0009,Endoproteze totala primara cimentatata de genunchi fara stabilizare posterioara cu pivotare mediala,18. Endoproteze totala primara cimentatata de genunchi fara sabilizare posterioara cu pivotare mediala Cantitate min./max. estimata contract subsecvent (buc)1 /2 ; Cantitate min./max. estimata acord cadru (buc) : 80 / 100; Valoare min./max. estimata contract subsecvent (lei) :8380 /16760; Valoare min/max. estimata acord-cadru(lei):670400 / 838000.,selec-w,,,cat_0010,src_ted_opendata,file_ted_0009,lot:LOT-0018,2026-08-19
lot_00031,LOT-0001,not_0010,pro_0010,Udzielenie kredytu długoterminowego na sfinansowanie planowanego deficytu budżetu Gminy Wiśniew roku 2024 oraz spłatę wcześniej zaciągniętych zobowiązań z tytułu kredytów i pożyczek,Udzielenie kredytu długoterminowego na sfinansowanie planowanego deficytu budżetu Gminy Wiśniew roku 2024 oraz spłatę wcześniej zaciągniętych zobowiązań z tytułu kredytów i pożyczek,selec-w,,,cat_0013,src_ted_opendata,file_ted_0010,lot:LOT-0001,2026-08-19
lot_00032,LOT-0000,not_0011,pro_0011,Das Projectpersoneel Senior boswachter beheer,Das Projectpersoneel Senior boswachter beheer,clos-nw,1,EUR,cat_0014,src_ted_opendata,file_ted_0011,lot:LOT-0000,2026-08-19
lot_00033,LOT-0001,not_0012,pro_0012,Usługa pełnienia funkcji Inwestora Zastępczego (z rozszerzonym zakresem obowiązków) przy realizacji inwestycji pod nazwą „Budowa Centrum Edukacji Przyrodniczej MORGI”,"3.1. Przedmiotem zamówienia jest usługa pełnienia funkcji Inwestora Zastępczego (z rozszerzonym zakresem obowiązków) przy realizacji inwestycji pod nazwą „Budowa Centrum Edukacji Przyrodniczej MORGI” (dalej również: „Inwestycja). 3.2. Zamówienie zostało podzielone na etapy: Etap I, II i III oraz Etap IV jako przysługujące Zamawiającemu prawo opcji. 3.3. Inwestor Zastępczy będzie działał w imieniu i na rzecz Zamawiającego na podstawie udzielonych pełnomocnictw (inwestor zastępczy o charakterze pełnomocniczym), w tym m.in. pełnomocnictwa udzielonego w trybie art. 37 ust. 2 PZP. 3.4. Szczegółowy opis przedmiotu zamówienia stanowi załącznik 1 do SWZ. 3.6. Miejsce realizacji umowy: usługa będzie wykonywana w formie zdalnej oraz formie stacjonarnej na terenie realizacji Inwestycji - teren Babiogórskiego Parku Narodowego (poza obszarem Natura 2000), 34-222 Zawoja Widły, województwo Małopolskie, działki nr 22727/13 i 22728/1 obręb 0002 Zawoja lub w innym wskazanym przez Zamawiającego miejscu.",selec-w,1542416.67,PLN,cat_0015,src_ted_opendata,file_ted_0012,lot:LOT-0001,2026-08-19
